generation_id,candidate_id,candidate_tag,receiver_height,r_min,packing,inner_bias,azimuth_multiplier,beta_deg,bubble_radius,delta,flat_receiver_radius,flat_receiver_tilt,min_tower_clearance,num_heliostats,radial_multiplier,split_threshold,fitnessValue
000,0133,HASL_000_0133,52.192787,26.267344,0.480617,0.139740,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.427605
000,0132,HASL_000_0132,45.137650,25.400210,0.689960,0.862277,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.452470
000,0131,HASL_000_0131,66.635663,13.616369,0.707153,0.290051,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.361895
000,0130,HASL_000_0130,35.230971,28.273114,0.799816,0.640893,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.468978
000,0129,HASL_000_0129,44.891752,28.860069,0.413165,0.230515,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.451852
000,0128,HASL_000_0128,40.192833,23.330066,0.536173,0.715489,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.432826
000,0127,HASL_000_0127,68.294275,17.282484,0.483379,0.236350,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.352330
000,0126,HASL_000_0126,56.702273,12.962197,0.649872,0.188687,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.396393
000,0125,HASL_000_0125,42.898024,11.703641,0.521248,0.417486,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.429296
000,0124,HASL_000_0124,61.143854,16.652429,0.431326,0.893793,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.377468
000,0123,HASL_000_0123,48.005681,10.715088,0.812880,0.948034,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.422658
000,0122,HASL_000_0122,56.199645,29.426369,0.716891,0.993015,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.413251
000,0121,HASL_000_0121,54.207767,11.423372,0.865833,0.881236,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.403994
000,0120,HASL_000_0120,63.088269,13.797156,0.859098,0.177300,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.374203
000,0119,HASL_000_0119,59.114075,10.031428,0.439024,0.997355,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.384672
000,0118,HASL_000_0118,64.533190,14.996271,0.878532,0.176715,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.368313
000,0117,HASL_000_0117,38.842431,24.792105,0.604845,0.412475,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.467199
000,0116,HASL_000_0116,54.974290,15.016833,0.577929,0.524975,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.400636
000,0115,HASL_000_0115,49.365020,21.562601,0.857603,0.568005,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.430088
000,0114,HASL_000_0114,59.215791,14.667938,0.600284,0.868850,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.387342
000,0113,HASL_000_0113,44.210746,20.050011,0.863989,0.217014,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.442213
000,0112,HASL_000_0112,55.808815,13.142580,0.745660,0.753016,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.399855
000,0111,HASL_000_0111,56.282612,23.815198,0.716135,0.516975,1.000000,90.000000,5.800000,0.000000,0.865000,0.000000,5.000000,300.000000,1.000000,2.000000,0.407375
